"Country","Site","Latitude","Longitude","Exposure","Reef slope","Reef type","Reef zone","Year","Depth","Management name","Management secondary name","Management year established","Management size","Governance","Estimated compliance","Management rules","Transect number","Transect length surveyed","Assigned transect width (m)","Observers","Fish family","Fish genus","Fish taxon","Size","Count","Biomass constant a","Biomass constant b","Biomass kg/ha","Trophic group","Trophic level","Functional group","Vulnerability"
"Tonga","Tao South",-21.023756,-175.012877,"semi-exposed","slope","fringing","back reef",2018,7,"Open Access","Open",NA,0,NA,NA,"open access",3,30,5,"Patrick Smallhorn-West","Labridae","Cheilinus","Cheilinus trilobatus",18,1,0.019476,2.999946,7.57,"invertivore-mobile",3.92,"macro-invertivore",42.75
"Tonga","Nomuka Iki outside 2",-20.278124,-174.826073,"exposed","slope","fringing","fore reef",2018,7,"Nomuka SMA","Special Management Area",2011,6820,NA,"full","access restriction",4,30,2,"Patrick Smallhorn-West","Holocentridae","Myripristis","Myripristis",18,1,0.018744,3.069748,22.29,"planktivore",3.5,"planktivore",19.79
"Tonga","Nomuka Barn 1",-20.248142,-174.812883,"exposed","flat","fringing","fore reef",2018,7,"Nomuka SMA","Special Management Area",2011,6820,NA,"full","access restriction",1,30,2,"Patrick Smallhorn-West","Pomacentridae","Chromis","Chromis chrysura",7,40,0.01834,3.15616,56.83,"omnivore",3.04,"planktivore",16.73
"Tonga","Pangai Mid",-19.795576,-174.360678,"sheltered","slope","patch","fore reef",2024,5,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Lucy Southworth","Acanthuridae","Acanthurus","Acanthurus nigrofuscus",9,2,0.02512,2.96,2.24,"herbivore-detritivore",2,"cropper/grazer",27.14
"Tonga","Sopu Mid",-21.106123,-175.235168,"semi-exposed","slope","fringing","fore reef",2018,5,"Open Access","Open",NA,0,NA,NA,"open access",3,30,2,"Patrick Smallhorn-West","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon melanopterus",6,1,0.02239,2.99,0.79,"planktivore",2.7,"planktivore",25
"Tonga","Ovaka SMA 3",-18.74398333,-174.1125,"semi-exposed","slope","fringing","fore reef",2017,6,"Ovaka SMA","Special Management Area",2008,921,NA,"full","access restriction",3,30,2,"Patrick Smallhorn-West","Ostraciidae","Ostracion","Ostracion meleagris",7,1,0.03548,2.81,1.4,"omnivore",2.71,"cropper/grazer",13.16
"Tonga","HTHH 1_2024",-20.534107,-175.383618,"exposed","slope","fringing","fore reef",2024,11.4,"Open Access","Open",NA,0,NA,NA,"open access",4,30,5,"Lucy Southworth","Acanthuridae","Acanthurus","Acanthurus nigrofuscus",12,1,0.02512,2.96,2.62,"herbivore-detritivore",2,"cropper/grazer",27.14
"Tonga","Felemea FHR 2",-19.913275,-174.419682,"very sheltered","flat","fringing","fore reef",2024,2,"Felemea FHR","Fish Habitat Reserve",2008,44,NA,"full","no take",2,30,5,"Lucy Southworth","Zanclidae","Zanclus","Zanclus cornutus",15,2,0.0174,3.06,9.21,"omnivore",2.49,"micro-invertivore",13
"Tonga","Pangaimotu control",-21.111216,-175.158547,"sheltered","slope","fringing","fore reef",2018,5,"Open Access","Open",NA,0,NA,NA,"open access",3,30,5,"Patrick Smallhorn-West","Acanthuridae","Zebrasoma","Zebrasoma scopas",15,1,0.034129,2.939876,6.53,"herbivore-detritivore",2,"cropper/grazer",66.27
"Tonga","Nomuka FHR 3",-20.268103,-174.793171,"semi-exposed","slope","fringing","fore reef",2018,4,"Nomuka FHR","Fish Habitat Reserve",2011,53,NA,"full","no take",3,30,5,"Patrick Smallhorn-West","Mullidae","Parupeneus","Parupeneus cyclostomus",30,3,0.0123,3.09,90.21,"piscivore",4.08,"pisci-invertivore",36.98
"Tonga","Uoleva North 2",-19.838733,-174.42065,"sheltered","flat","fringing","fore reef",2018,6,"Open Access","Open",NA,0,NA,NA,"open access",1,30,5,"Patrick Smallhorn-West","Labridae","Thalassoma","Thalassoma lutescens",14,1,0.00977,3.06,2.09,"invertivore-mobile",3.72,"micro-invertivore",20
"Tonga","FonoiIka 1",-20.111135,-174.730366,"exposed","slope","patch","fore reef",2018,7,"Open Access","Open",NA,0,NA,NA,"open access",3,30,2,"Patrick Smallhorn-West","Pomacentridae","Pycnochromis","Pycnochromis margaritifer",4,1,0.0166,2.97,0.17,"omnivore",2.95,"planktivore",29.2
